2015/03/17 09:26:10	T	xlive 	764:3492 	[OUT 0'0"73]      CLibXLiveImpl::setAppSettingPath 	FL:LibXLiveImpl.cpp(212)
2015/03/17 09:26:10	T	xlive 	764:3492 	[IN]              CLibXLiveImpl::setTemporaryFolder 	FL:LibXLiveImpl.cpp(218)
2015/03/17 09:26:10	T	xlive 	764:3492 	[OUT 0'0"1]       CLibXLiveImpl::setTemporaryFolder 	FL:LibXLiveImpl.cpp(218)
2015/03/17 09:26:10	T	xlive 	764:3492 	[IN]              CLibXLiveImpl::setSyncThreadCount 	FL:LibXLiveImpl.cpp(236)
2015/03/17 09:26:10	T	xlive 	764:3492 	[IN]              CSyncManager::setSyncThreadCount 	FL:SyncManager.cpp(669)
2015/03/17 09:26:10	T	xlive 	764:3492 	[OUT 0'0"0]       CSyncManager::setSyncThreadCount 	FL:SyncManager.cpp(669)
2015/03/17 09:26:10	T	xlive 	764:3492 	[OUT 0'0"0]       CLibXLiveImpl::setSyncThreadCount 	FL:LibXLiveImpl.cpp(236)
2015/03/17 09:26:10	T	xlive 	764:3492 	[IN]              CLibXLiveImpl::setEnableLANSync 	FL:LibXLiveImpl.cpp(230)
2015/03/17 09:26:10	T	xlive 	764:3492 	[OUT 0'0"0]       CLibXLiveImpl::setEnableLANSync 	FL:LibXLiveImpl.cpp(230)
2015/03/17 09:26:10	T	xlive 	764:3492 	[IN]              CLibXLiveImpl::setUsingHTTPS 	FL:LibXLiveImpl.cpp(255)
2015/03/17 09:26:10	T	xlive 	764:3492 	[OUT 0'0"0]       CLibXLiveImpl::setUsingHTTPS 	FL:LibXLiveImpl.cpp(255)
2015/03/17 09:26:10	T	xlive 	764:3492 	[IN]              CLibXLiveImpl::setLargeFileLimit 	FL:LibXLiveImpl.cpp(280)
2015/03/17 09:26:10	T	xlive 	764:3492 	[OUT 0'0"0]       CLibXLiveImpl::setLargeFileLimit 	FL:LibXLiveImpl.cpp(280)
2015/03/17 09:26:10	T	xlive 	764:3492 	[IN]              CLibXLiveImpl::setExcludeFolderPath 	FL:LibXLiveImpl.cpp(273)
2015/03/17 09:26:10	T	xlive 	764:3492 	[IN]              CSyncManager::delFolderItemsByPath 	FL:SyncManager.cpp(201)
2015/03/17 09:26:10	T	xlive 	764:3492 	[IN]              CDBFS::init 	FL:DBFS.cpp(21)
2015/03/17 09:26:10	T	xlive 	764:3492 	[IN]              CDBFS::_initDBEnv 	FL:DBFS.cpp(737)
2015/03/17 09:26:10	T	xlive 	764:3492 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/17 09:26:10	T	xlive 	764:3492 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/17 09:26:10	T	xlive 	764:3492 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/17 09:26:10	T	xlive 	764:3492 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/17 09:26:10	T	xlive 	764:3492 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/17 09:26:10	T	xlive 	764:3492 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/17 09:26:10	T	xlive 	764:3492 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
